序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
1,115/09/16,光環,3234,上櫃增資,115/09/10,115/09/14,"1,275,000","1,275,000",110,110,115/09/24,第一金,"1,000","140,250,000",0,0,
2,115/09/16,漢測,7856,初上櫃,115/09/10,115/09/14,"1,048,000","1,048,000","2,250",未訂出,115/09/22,永豐金,"1,000",未訂出,0,0,
3,115/09/14,天瀚,6225,上市增資,115/09/08,115/09/10,"2,737,000","2,737,000",17.65,17.65,115/09/22,第一金,"1,000","48,308,050",0,0,
4,115/09/14,巨虹,8084,上櫃增資,115/09/08,115/09/10,"9,050,000","9,050,000",45.6,45.6,115/09/22,兆豐,"1,000","412,680,000",0,0,
5,115/09/14,嘉晶,3016,上市增資,115/09/08,115/09/10,"247,000","247,000",82,82,115/09/22,凱基,"1,000","20,254,000",0,0,
6,115/09/14,jpp-KY,5284,第一上市公司現金增資,115/09/08,115/09/10,"192,000","192,000",250,250,115/09/22,凱基,"1,000","48,000,000",0,0,
7,115/09/11,信紘科,6667,上櫃增資,115/09/07,115/09/09,"357,000","357,000",165,165,115/09/21,富邦,"1,000","58,905,000",0,0,
8,115/09/10,新潤,6186,上櫃增資,115/09/04,115/09/08,"2,720,000","2,720,000",28.5,28.5,115/09/18,合庫,"1,000","77,520,000",0,0,
9,115/09/10,能率亞洲,7777,上櫃增資,115/09/04,115/09/08,"1,360,000","1,360,000",28.8,28.8,115/09/18,第一金,"1,000","39,168,000",0,0,
10,115/09/10,床的世界,2938,初上櫃,115/09/04,115/09/08,"759,000","759,000",18,18,115/09/16,統一,"1,000","13,662,000",0,0,
11,115/09/09,雙鍵,4764,上市增資,115/09/03,115/09/07,"510,000","510,000",169,169,115/09/17,凱基,"1,000","86,190,000",0,0,
12,115/09/08,樂事綠能,1529,上市增資,115/09/02,115/09/04,"3,400,000","3,400,000",14,14,115/09/16,統一,"2,000","47,600,000","54,043",3.14,
13,115/09/08,嘉基,6715,上市增資,115/09/02,115/09/04,"510,000","510,000",310,310,115/09/16,中國信託,"1,000","158,100,000","22,534",2.26,
14,115/09/08,世紀鋼,9958,上市增資,115/09/02,115/09/04,"1,700,000","1,700,000",83,83,115/09/16,永豐金,"1,000","141,100,000","37,613",4.51,
15,115/09/07,坤悅,5206,上櫃增資,115/09/01,115/09/03,"1,840,000","1,840,000",20,20,115/09/15,國泰,"1,000","36,800,000","45,964",4,
16,115/09/04,和亞智慧,7825,初上櫃,115/08/31,115/09/02,"750,000","750,000",48.88,48.88,115/09/10,群益金鼎,"1,000","36,660,000","248,489",0.3,
17,115/09/02,汎瑋材料,6967,上櫃增資,115/08/27,115/08/31,"468,000","468,000",55,55,115/09/10,台新,"1,000","25,740,000","127,329",0.36,
18,115/08/28,旭源,8421,上櫃增資,115/08/24,115/08/26,"765,000","765,000",11,11,115/09/07,台中銀,"1,000","8,415,000","39,281",1.94,
19,115/08/28,元大期,6023,上櫃增資,115/08/24,115/08/26,"6,800,000","6,800,000",73.5,73.5,115/09/07,中國信託,"1,000","499,800,000","102,067",6.66,
20,115/08/20,安國,8054,上櫃增資,115/08/14,115/08/18,"213,000","213,000",77,77,115/08/28,福邦,"1,000","16,401,000","19,316",1.1,
21,115/08/13,智崴,5263,上櫃增資,115/08/07,115/08/11,"425,000","425,000",85.8,85.8,115/08/21,兆豐,"1,000","36,465,000","22,691",1.87,
22,115/08/13,生華科,6492,上櫃增資,115/08/07,115/08/11,"2,125,000","2,125,000",34,34,115/08/21,國泰,"1,000","72,250,000","25,180",8.43,
23,115/08/10,生合,1295,上櫃增資,115/08/04,115/08/06,"266,000","266,000",45,45,115/08/18,台新,"1,000","11,970,000","4,323",6.15,
24,115/08/10,醫揚,6569,上櫃增資,115/08/04,115/08/06,"319,000","319,000",88,88,115/08/18,台新,"1,000","28,072,000","30,972",1.02,
25,115/08/05,和運租車,7855,初上市,115/07/30,115/08/03,"14,412,000","14,412,000",42,42,115/08/11,台新,"1,000","605,304,000","370,609",3.88,
26,115/08/04,華德動能,2237,創新板初上市,115/07/29,115/07/31,"1,789,000","1,789,000",28.6,26.66,115/08/10,群益金鼎,"1,000","47,694,740","34,427",5.19,
27,115/08/04,正達,3149,上市增資,115/07/29,115/07/31,"5,100,000","5,100,000",61,61,115/08/12,台新,"1,000","311,100,000","23,665",21.55,
28,115/07/29,新應材,4749,上櫃增資,115/07/23,115/07/27,"170,000","170,000",745,745,115/08/06,兆豐,"1,000","126,650,000","19,687",0.86,
29,115/07/28,進泰電子,3465,上櫃增資,115/07/22,115/07/24,"630,000","630,000",30,30,115/08/05,富邦,"1,000","18,900,000","3,458",18.21,
30,115/07/24,至上,8112,上市增資,115/07/20,115/07/22,"3,480,000","3,480,000",66,66,115/08/03,凱基,"1,000","229,680,000","179,614",1.93,
31,115/07/24,榮科,4989,上市增資,115/07/20,115/07/22,"3,010,000","3,010,000",60,60,115/08/03,元大,"1,000","180,600,000","74,989",4.01,
32,115/07/22,大鵬科,7689,初上市,115/07/16,115/07/20,"1,588,000","1,588,000",188,180.53,115/07/28,富邦,"1,000","286,681,640","76,999",2.06,
33,115/07/17,華通,2313,上市增資,115/07/13,115/07/15,"3,570,000","3,570,000",205,205,115/07/27,凱基,"1,000","731,850,000","116,215",3.07,
34,115/07/17,台鎔科技,6947,初上市,115/07/10,115/07/15,"2,222,000","2,222,000",66,66,115/07/23,永豐金,"1,000","146,652,000","124,839",1.77,
35,115/07/17,長興,1717,上市增資,115/07/13,115/07/15,"1,020,000","1,020,000",50,50,115/07/27,台新,"1,000","51,000,000","219,486",0.46,
36,115/07/16,典範,3372,上櫃增資,115/07/10,115/07/14,"5,100,000","5,100,000",16.8,16.8,115/07/24,元大,"1,000","85,680,000","32,998",15.45,
37,115/07/15,威潤,6465,上櫃增資,115/07/08,115/07/13,"1,020,000","1,020,000",46.7,46.7,115/07/23,統一,"1,000","47,634,000","120,979",0.84,
38,115/07/15,立凱-KY,5227,上櫃增資,115/07/08,115/07/13,"2,380,000","2,380,000",26.5,26.5,115/07/23,華南永昌,"1,000","63,070,000","66,124",3.59,
39,115/07/13,鑫聯大投控,3709,上櫃增資,115/07/06,115/07/08,"1,700,000","1,700,000",71,71,115/07/21,元大,"1,000","120,700,000","19,962",8.51,
40,115/07/09,和勤,1586,上櫃增資,115/07/03,115/07/07,"2,250,000","2,250,000",17.2,17.2,115/07/20,群益金鼎,"1,000","38,700,000","37,234",6.04,
41,115/07/09,海昌生技,7814,初上櫃,115/07/03,115/07/07,"983,000","983,000",32,28.47,115/07/16,永豐金,"1,000","27,986,010","70,228",1.39,
42,115/07/08,邑昇,5291,上櫃增資,115/07/02,115/07/06,"180,000","180,000",53,53,115/07/16,統一,"1,000","9,540,000","38,606",0.46,
43,115/07/07,信實,6721,上櫃增資,115/07/01,115/07/03,"170,000","170,000",50,50,115/07/15,第一金,"1,000","8,500,000","29,637",0.57,
44,115/07/07,永捷,4714,上櫃增資,115/07/01,115/07/03,"3,719,000","3,719,000",11,11,115/07/16,台新,"1,000","40,909,000","29,710",12.51,
45,115/07/06,曜越,3540,上櫃增資,115/06/30,115/07/02,"1,020,000","1,020,000",21,21,115/07/14,福邦,"1,000","21,420,000","60,376",1.68,
46,115/07/06,國喬,1312,上市增資,115/06/30,115/07/02,"34,000,000","34,000,000",14,14,115/07/14,台新,"4,000","476,000,000","6,997",100,
47,115/06/22,海昌生技,7814,初上櫃,115/06/15,115/06/17,"983,000","983,000",32,---,115/06/26,永豐金,"1,000",---,0,0,取消申購
48,115/06/22,和迅,6986,初上櫃,115/06/15,115/06/17,"1,142,000","1,142,000",47.5,43.91,115/06/26,台新,"1,000","50,145,220","127,205",0.89,
49,115/06/17,鉅橡,8074,上櫃增資,115/06/11,115/06/15,"510,000","510,000",50,50,115/06/26,福邦,"1,000","25,500,000","190,199",0.26,
50,115/06/11,立弘,1780,初上櫃,115/06/05,115/06/09,"2,381,000","2,381,000",18.88,18.88,115/06/17,台新,"1,000","44,953,280","229,317",1.03,
51,115/06/10,聯嘉投控,3717,上市增資,115/06/04,115/06/08,"3,060,000","3,060,000",20,20,115/06/18,國泰,"1,000","61,200,000","44,048",6.94,
52,115/06/09,達人網,7839,初上櫃,115/06/03,115/06/05,"420,000","420,000",36,36,115/06/15,福邦,"1,000","15,120,000","223,438",0.18,
53,115/06/02,雷虎,8033,上市增資,115/05/27,115/05/29,"1,020,000","1,020,000",108,108,115/06/10,福邦,"1,000","110,160,000","231,130",0.44,
54,115/06/02,合晶,6182,上櫃增資,115/05/27,115/05/29,"1,700,000","1,700,000",27.8,27.8,115/06/10,富邦,"1,000","47,260,000","949,834",0.17,
55,115/06/01,圓祥生技,6945,初上櫃,115/05/26,115/05/28,"2,441,000","2,441,000",122,105.4,115/06/05,元大,"1,000","257,281,400","85,578",2.85,
56,115/05/27,先進光,3362,上櫃增資,115/05/21,115/05/25,"425,000","425,000",92,92,115/06/04,中國信託,"1,000","39,100,000","177,449",0.23,
57,115/05/21,精誠金融,7819,初上櫃,115/05/15,115/05/19,"694,000","694,000",50.5,50.5,115/05/27,元大,"1,000","35,047,000","122,422",0.56,
58,115/05/19,華洋精機,6983,初上櫃,115/05/13,115/05/15,"360,000","360,000",85,85,115/05/25,福邦,"1,000","30,600,000","698,036",0.05,
59,115/05/15,台汽電,8926,上市增資,115/05/11,115/05/13,"8,500,000","8,500,000",32.73,32.73,115/05/25,臺銀證券,"1,000","278,205,000","429,078",1.98,
60,115/05/14,宏致,3605,上市增資,115/05/08,115/05/12,"935,000","935,000",58,58,115/05/22,凱基,"1,000","54,230,000","289,369",0.32,
61,115/05/12,溢泰實業,7818,初上市,115/05/06,115/05/08,"3,160,000","3,160,000",70,70,115/05/18,凱基,"1,000","221,200,000","305,115",1.03,
62,115/05/05,基米,4195,創新板初上市,115/04/28,115/04/30,"1,489,000","1,489,000",22.2,22.06,115/05/11,台中銀,"1,000","32,847,340","89,705",1.65,
63,115/05/05,天能綠電,7842,初上櫃,115/04/28,115/04/30,"772,000","772,000",108,108,115/05/11,永豐金,"1,000","83,376,000","202,847",0.38,
64,115/05/04,耀穎,7772,初上櫃,115/04/27,115/04/29,"481,000","481,000",53,53,115/05/08,台新,"1,000","25,493,000","612,678",0.07,
65,115/04/30,頌勝科技,7768,初上市,115/04/24,115/04/28,"1,754,000","1,754,000",258,258,115/05/07,元大,"1,000","452,532,000","301,389",0.58,
66,115/04/29,敘豐,3485,初上櫃,115/04/23,115/04/27,"860,000","860,000",128,128,115/05/06,富邦,"1,000","110,080,000","401,813",0.21,
67,115/04/24,永笙-KY,4178,第一上市公司初上市,115/04/20,115/04/22,"4,100,000","4,100,000",21.08,19.15,115/04/30,台新,"1,000","78,515,000","114,321",3.58,
68,115/04/22,享溫馨,7760,初上市,115/04/16,115/04/20,"1,078,000","1,078,000",30,30,115/04/28,台新,"1,000","32,340,000","113,052",0.95,
69,115/04/21,立盈,7820,初上櫃,115/04/15,115/04/17,"781,000","781,000",120,120,115/04/27,元大,"1,000","93,720,000","246,695",0.31,
70,115/04/16,創新服務,7828,初上櫃,115/04/10,115/04/14,"697,000","697,000",628,628,115/04/22,凱基,"1,000","437,716,000","234,080",0.29,
71,115/04/14,神數,7821,初上市,115/04/08,115/04/10,"2,625,000","2,625,000",38.5,38.5,115/04/20,元大,"1,000","101,062,500","314,633",0.83,
72,115/04/14,宏碁智新,7794,初上櫃,115/04/08,115/04/10,"610,000","610,000",31,31,115/04/20,台新,"1,000","18,910,000","220,147",0.27,
73,115/04/10,亞元,6109,上櫃增資,115/04/02,115/04/08,"1,700,000","1,700,000",10.3,10.3,115/04/20,台新,"1,000","17,510,000","42,218",4.02,
74,115/04/07,閎康,3587,上櫃增資,115/03/30,115/04/01,"160,000","160,000",160,160,115/04/15,元大,"1,000","25,600,000","184,108",0.08,
75,115/03/31,泰宗,4169,初上市,115/03/25,115/03/27,"1,378,000","1,378,000",102,102,115/04/08,元大,"1,000","140,556,000","268,943",0.51,
76,115/03/27,建舜電,3322,上櫃增資,115/03/23,115/03/25,"1,360,000","1,360,000",11.13,11.13,115/04/08,德信,"1,000","15,136,800","37,787",3.59,
77,115/03/24,公勝保經,6028,初上櫃,115/03/18,115/03/20,"540,000","540,000",72,72,115/03/30,台新,"1,000","38,880,000","189,374",0.28,
78,115/03/24,倍利科,7822,初上市,115/03/18,115/03/20,"701,000","701,000",780,780,115/03/30,凱基,"1,000","546,780,000","245,171",0.28,
79,115/03/20,日成-KY,4807,第一上市公司現金增資,115/03/16,115/03/18,"901,000","901,000",14.2,14.2,115/03/30,元富,"1,000","12,794,200","29,637",3.04,
80,115/03/20,世紀風電,2072,初上市,115/03/16,115/03/18,"4,060,000","4,060,000",186,186,115/03/26,永豐金,"1,000","755,160,000","210,437",1.92,
81,115/03/19,宏碁遊戲,6908,創新板初上市,115/03/13,115/03/17,"437,000","437,000",38.66,38.66,115/03/25,富邦,"1,000","16,894,420","162,604",0.26,
82,115/03/19,民盛,7811,初上櫃,115/03/13,115/03/17,"905,000","905,000",95,93.33,115/03/25,富邦,"1,000","84,463,650","80,158",1.12,
83,115/03/17,長虹,5534,上市增資,115/03/11,115/03/13,"2,125,000","2,125,000",60,60,115/03/25,群益金鼎,"1,000","127,500,000","181,698",1.16,
84,115/03/13,博晟生醫,6733,上櫃增資,115/03/09,115/03/11,"850,000","850,000",36,36,115/03/23,元富,"1,000","30,600,000","2,546",33.38,
85,115/03/13,佳能,2374,上市增資,115/03/09,115/03/11,"1,020,000","1,020,000",66,66,115/03/23,凱基,"1,000","67,320,000","39,989",2.55,
86,115/03/12,建準,2421,上市增資,115/03/06,115/03/10,"1,148,000","1,148,000",125,125,115/03/20,台新,"1,000","143,500,000","40,068",2.86,
87,115/03/12,精確,3162,上櫃增資,115/03/06,115/03/10,"1,785,000","1,785,000",50,50,115/03/20,台新,"1,000","89,250,000","38,190",4.67,
88,115/03/11,光罩,2338,上市增資,115/03/05,115/03/09,"4,250,000","4,250,000",32,32,115/03/19,國泰,"1,000","136,000,000","310,250",1.36,
89,115/03/11,景碩,3189,上市增資,115/03/05,115/03/09,"5,950,000","5,950,000",145,145,115/03/19,富邦,"1,000","862,750,000","476,007",1.24,
90,115/03/10,亞通利大,6179,上櫃增資,115/03/04,115/03/06,"4,250,000","4,250,000",22.5,22.5,115/03/18,富邦,"1,000","95,625,000","40,673",10.44,
91,115/03/06,精湛,2070,上櫃增資,115/03/02,115/03/04,"510,000","510,000",35,35,115/03/16,福邦,"1,000","17,850,000","56,035",0.91,
92,115/03/03,宣德,5457,上櫃增資,115/02/24,115/02/26,"1,980,000","1,980,000",33,33,115/03/11,凱基,"1,000","65,340,000","52,175",3.79,
93,115/03/02,成信實業*-創,6969,創新板上市現增,115/02/23,115/02/25,"486,000","486,000",28,28,115/03/10,台中銀,"1,000","13,608,000","15,523",3.13,
94,115/02/25,來思達,8066,上櫃增資,115/02/10,115/02/23,"595,000","595,000",20,20,115/03/06,康和,"1,000","11,900,000","2,958",20.11,
95,115/02/03,上詮,3363,上櫃增資,115/01/28,115/01/30,"850,000","850,000",316,316,115/02/11,台新,"1,000","268,600,000","202,752",0.41,
96,115/02/02,尖點,8021,上市增資,115/01/27,115/01/29,"255,000","255,000",127,127,115/02/10,福邦,"1,000","32,385,000","482,409",0.05,
97,115/02/02,明係,6804,上櫃增資,115/01/27,115/01/29,"1,063,000","1,063,000",16.8,16.8,115/02/10,兆豐,"1,000","17,858,400","17,252",6.16,
98,115/02/02,華廣,4737,上市增資,115/01/27,115/01/29,"850,000","850,000",50,50,115/02/10,台新,"1,000","42,500,000","50,092",1.69,
99,115/01/29,健亞,4130,上櫃增資,115/01/23,115/01/27,"2,070,000","2,070,000",28,28,115/02/06,元大,"1,000","57,960,000","81,181",2.54,
100,115/01/28,久舜,5547,初上櫃,115/01/22,115/01/26,"1,584,000","1,584,000",20.4,20.4,115/02/03,康和,"1,000","32,313,600","162,168",0.97,
101,115/01/27,御嵿,3522,上櫃增資,115/01/21,115/01/23,"1,700,000","1,700,000",15.5,15.5,115/02/04,兆豐,"1,000","26,350,000","20,930",8.12,
102,115/01/27,心誠鎂,6934,初上市,115/01/21,115/01/23,"753,000","753,000",48,48,115/02/02,元大,"1,000","36,144,000","509,537",0.14,
103,115/01/26,佳醫,4104,上市增資,115/01/20,115/01/22,"1,428,000","1,428,000",60,60,115/02/03,合庫,"1,000","85,680,000","234,654",0.6,
104,115/01/23,雅特力-KY,6907,第一上櫃公司初上櫃,115/01/19,115/01/21,"1,980,000","1,980,000",30,30,115/01/29,宏遠,"1,000","59,400,000","76,422",2.59,
105,115/01/22,新美齊,2442,上市增資,115/01/16,115/01/20,"4,500,000","4,500,000",20.5,20.5,115/01/30,富邦,"1,000","92,250,000","89,957",5,
106,115/01/22,安葆,7792,初上櫃,115/01/16,115/01/20,"1,078,000","1,078,000",133.8,133.8,115/01/28,元大,"1,000","144,236,400","431,817",0.24,
107,115/01/21,老爺知,5704,上櫃增資,115/01/15,115/01/19,"1,700,000","1,700,000",22,22,115/01/29,台新,"1,000","37,400,000","98,085",1.73,
108,115/01/21,晉弘,6796,上市增資,115/01/15,115/01/19,"170,000","170,000",67.2,67.2,115/01/29,富邦,"1,000","11,424,000","176,208",0.09,
109,115/01/16,旅天下,6961,初上櫃,115/01/12,115/01/14,"644,000","644,000",55,55,115/01/22,福邦,"1,000","35,420,000","132,774",0.48,
110,115/01/16,億而得,6423,創新板轉列上櫃,115/01/12,115/01/14,"181,000","181,000",60,60,115/01/22,兆豐,"1,000","10,860,000","122,543",0.14,
